IP|PUERTO|BD|USUARIO|USOS
10.50.71.69|21696|buro|sysburotienda|1
10.50.71.69|21702|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|21706|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|21718|buro|sysburotienda|1
10.50.71.69|21724|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|21730|buro|sysburotienda|1
10.50.71.69|21746|buro|sysburotienda|1
10.50.71.69|21758|buro|sysburotienda|1
10.50.71.69|21766|buro|sysburotienda|1
10.50.71.69|21780|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|21792|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|6136|buro|sysburotienda|1
10.50.71.69|6152|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|6168|buro|sysburotienda|1
10.50.71.69|6178|buro|sysburotienda|1
10.50.71.69|19412|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|19414|buro|sysburotienda|1
10.50.71.69|19430|buro|sysburotienda|1
10.50.71.69|19436|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|35908|buro|sysburotienda|1
10.50.71.69|35910|buro|sysburotienda|1
10.50.71.69|35926|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|8750|buro|sysburotienda|1
10.50.71.69|8770|buro|sysburotienda|1
10.50.71.69|8774|buro|sysburotienda|1
10.50.71.69|8786|buro|sysburotienda|1
10.50.71.69|8788|buro|sysburotienda|1
10.50.71.69|8790|buro|sysburotienda|1
10.50.71.69|8800|buro|sysburotienda|1
10.50.71.69|8810|buro|sysburotienda|1
10.50.71.69|8812|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|8826|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|8832|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|8842|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|8858|infocrediticiacte|sysinfocrediticia|1
10.30.241.167|63167|buro|sysburotienda|1
10.50.71.69|8870|buro|sysburotienda|1
10.50.71.69|8876|infocrediticiacte|sysinfocrediticia|1
10.30.241.169|47070|buro|sysburotienda|1
10.50.71.69|8882|buro|sysburotienda|1
10.50.71.69|8890|buro|sysburotienda|1
10.50.71.69|8906|buro|sysburotienda|1
10.50.71.69|8920|buro|sysburotienda|1
10.50.71.69|8922|buro|sysburotienda|1
10.50.71.69|8924|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|8938|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|8940|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|8944|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|8966|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|8956|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|8972|buro|sysburotienda|1
10.50.71.69|8982|buro|sysburotienda|1
10.50.71.69|13780|buro|sysburotienda|1
10.50.71.69|13790|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|13802|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|13814|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|13822|buro|sysburotienda|1
10.50.71.69|13830|buro|sysburotienda|1
10.50.70.104|48080|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|13842|buro|sysburotienda|1
10.50.71.69|13846|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|13860|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|13876|buro|sysburotienda|1
10.50.71.69|13878|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|58928|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|58940|buro|sysburotienda|1
10.50.71.69|58942|buro|sysburotienda|1
10.50.71.69|58944|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|63566|buro|sysburotienda|1
